"","transmission","protection","N_per_arm","power"
"1",1,10,25,0.075
"2",2,10,25,0.047
"3",4,10,25,0.087
"4",1,15,25,0.083
"5",2,15,25,0.092
"6",4,15,25,0.12
"7",1,20,25,0.094
"8",2,20,25,0.119
"9",4,20,25,0.197
"10",1,25,25,0.111
"11",2,25,25,0.164
"12",4,25,25,0.296
"13",1,30,25,0.156
"14",2,30,25,0.21
"15",4,30,25,0.386
"16",1,10,50,0.067
"17",2,10,50,0.065
"18",4,10,50,0.111
"19",1,15,50,0.079
"20",2,15,50,0.116
"21",4,15,50,0.224
"22",1,20,50,0.095
"23",2,20,50,0.188
"24",4,20,50,0.339
"25",1,25,50,0.165
"26",2,25,50,0.263
"27",4,25,50,0.502
"28",1,30,50,0.187
"29",2,30,50,0.391
"30",4,30,50,0.662
"31",1,10,75,0.09
"32",2,10,75,0.078
"33",4,10,75,0.158
"34",1,15,75,0.112
"35",2,15,75,0.151
"36",4,15,75,0.274
"37",1,20,75,0.142
"38",2,20,75,0.232
"39",4,20,75,0.475
"40",1,25,75,0.183
"41",2,25,75,0.368
"42",4,25,75,0.665
"43",1,30,75,0.29
"44",2,30,75,0.511
"45",4,30,75,0.831
"46",1,10,100,0.077
"47",2,10,100,0.12
"48",4,10,100,0.197
"49",1,15,100,0.133
"50",2,15,100,0.187
"51",4,15,100,0.367
"52",1,20,100,0.186
"53",2,20,100,0.313
"54",4,20,100,0.561
"55",1,25,100,0.259
"56",2,25,100,0.447
"57",4,25,100,0.773
"58",1,30,100,0.37
"59",2,30,100,0.617
"60",4,30,100,0.93
"61",1,10,125,0.073
"62",2,10,125,0.126
"63",4,10,125,0.225
"64",1,15,125,0.127
"65",2,15,125,0.235
"66",4,15,125,0.389
"67",1,20,125,0.199
"68",2,20,125,0.385
"69",4,20,125,0.644
"70",1,25,125,0.313
"71",2,25,125,0.545
"72",4,25,125,0.874
"73",1,30,125,0.437
"74",2,30,125,0.732
"75",4,30,125,0.961
"76",1,10,150,0.079
"77",2,10,150,0.137
"78",4,10,150,0.253
"79",1,15,150,0.131
"80",2,15,150,0.259
"81",4,15,150,0.518
"82",1,20,150,0.241
"83",2,20,150,0.445
"84",4,20,150,0.761
"85",1,25,150,0.366
"86",2,25,150,0.605
"87",4,25,150,0.923
"88",1,30,150,0.515
"89",2,30,150,0.845
"90",4,30,150,0.984
"91",1,10,175,0.083
"92",2,10,175,0.15
"93",4,10,175,0.27
"94",1,15,175,0.161
"95",2,15,175,0.305
"96",4,15,175,0.539
"97",1,20,175,0.264
"98",2,20,175,0.501
"99",4,20,175,0.833
"100",1,25,175,0.393
"101",2,25,175,0.703
"102",4,25,175,0.953
"103",1,30,175,0.56
"104",2,30,175,0.864
"105",4,30,175,0.992
"106",1,10,200,0.111
"107",2,10,200,0.165
"108",4,10,200,0.35
"109",1,15,200,0.193
"110",2,15,200,0.328
"111",4,15,200,0.644
"112",1,20,200,0.291
"113",2,20,200,0.559
"114",4,20,200,0.864
"115",1,25,200,0.467
"116",2,25,200,0.761
"117",4,25,200,0.965
"118",1,30,200,0.598
"119",2,30,200,0.909
"120",4,30,200,0.999
"121",1,10,225,0.091
"122",2,10,225,0.16
"123",4,10,225,0.339
"124",1,15,225,0.201
"125",2,15,225,0.359
"126",4,15,225,0.662
"127",1,20,225,0.344
"128",2,20,225,0.6
"129",4,20,225,0.899
"130",1,25,225,0.494
"131",2,25,225,0.794
"132",4,25,225,0.981
"133",1,30,225,0.649
"134",2,30,225,0.935
"135",4,30,225,0.998
"136",1,10,250,0.117
"137",2,10,250,0.218
"138",4,10,250,0.362
"139",1,15,250,0.227
"140",2,15,250,0.407
"141",4,15,250,0.706
"142",1,20,250,0.387
"143",2,20,250,0.634
"144",4,20,250,0.925
"145",1,25,250,0.542
"146",2,25,250,0.841
"147",4,25,250,0.988
"148",1,30,250,0.715
"149",2,30,250,0.947
"150",4,30,250,0.999
